Genre.1,Emotions.1,posts
Entertainment,Gossip,8
Entertainment,Surprise,8
Curent-Affairs,excitement,8
Off-beat,Sadness,8
Off-beat,Pride,8
Curent-Affairs,Proud,8
Sports,Shocking,8
Crime,Sad,8
Crime,Curious,8
Entertainment,Happiness/ Joy,7
Sports,Sad,7
Politics,Shock,7
Sports,Wow! Amazing!,7
Business,Breaking News,7
Lifestyle,Curiosity,7
International Politics,Sadness,7
Int others,Shock -VE,7
Sports,excitement,7
Politics,Anger,7
Sports,Funny,7
Sports,Happy,7
Off-beat,Curious,6
Crime,Happy,6
Off-beat,Proud,6
Off-beat,Shock,6
Business,Fear/Concern,6
Sports,Shock,6
Crime,Sadness,6
Business,Wow! Amazing!,6
Sports,Controvery,6
Lifestyle,Happy,5
Off-beat,excitement,5
Politics,Happiness,5
Current-Affairs,Anger/ Rage,5
Lifestyle,Sad,5
Off-beat,Funny,5
Lifestyle,Surprise +VE,5
Sports,Proud,5
Entertainment,Anger,5
Entertainment,Shock,5
International Politics,Happy,5
Politics,Breaking News,5
Current-Affairs,Controvery,5
Entertainment,empathy,5
Current-Affairs,Patriotism,5
Sports,Heartwarming,5
Business,Surprise,5
International Politics,Funny,4
Off-beat,Motivation,4
Current-Affairs,Pride,4
Business,Surprise +VE,4
Curent-Affairs,Anger,4
Off-beat,Anger,4
Lifestyle,Shock -VE,4
Off-beat,Happiness,4
Off-beat,Sad,4
Spiritual,Spiritual,4
Sports,Surprise,4
Curent-Affairs,Controversy,4
Sports,Funny/ Laughter,4
Business,Shock -VE,4
Off-beat,Happiness/ Joy,4
Spiritual,Happy,4
Business,excitement,4
International Politics,Controversy,3
International Politics,Funny/ Laughter,3
International Politics,Controvery,3
Int others,Curiosity,3
Current Affairs,Breaking News,3
Current-Affairs,Happiness,3
Politics,Curiosity,3
Off-beat,Fear/Concern,3
Off-beat,Controversy,3
International Politics,Shock,3
Lifestyle,excitement,3
Sports,Anger,3
Business,Anger,3
Business,Motivation,3
Entertainment,Funny/ Laughter,3
Entertainment,Proud,3
Business,Sad,3
International Politics,Curiosity,3
International Politics,Patriotism,3
International Politics,Curious,3
Curent-Affairs,empathy,2
Crime,Controvery,2
Sports,Curious,2
Crime,Fear/Concern,2
Crime,Curiosity,2
Politics,Funny,2
Politics,Surprise +VE,2
Politics,Wow! Amazing!,2
Crime,Fear/ Concern,2
Off-beat,Emotion,2
Crime,Breaking News,2
Politics,Patriotism,2
Politics,Pride/Belonging,2
Politics,Fear/Concern,2
Politics,Heartwarming,2
Off-beat,Spiritual,2
Politics,Controvery,2
Off-beat,Happy,2
Crime,Wow! Amazing!,2
Off-beat,Controvery,2
Crime,excitement,2
Lifestyle,Wow! Amazing!,2
Lifestyle,Surprise,2
International Politics,Surprise,2
Job,Shock -VE,2
Job,Surprise +VE,2
Job,Wow! Amazing!,2
Entertainment,Pride/Belonging,2
Int others,Controversy,2
Entertainment,Heartwarming,2
Entertainment,Fear/Concern,2
Current-Affairs,Fear/ Concern,2
Entertainment,Emotion,2
Sports,Patriotism,2
Current-Affairs,wow,2
Current-Affairs,Funny/ Laughter,2
Entertainment,Motivation,2
Current-Affairs,Heartwarming,2
Sports,Emotion,2
Business,Shock,2
Sports,Fandom,2
Business,Patriotism,2
Int others,Anger/ Rage,2
Int others,Sadness,2
Current-Affairs,Motivation,2
International Politics,Pride,2
Curent-Affairs,sad,2
International Politics,Fear/Concern,2
Off-beat,Fear/ Concern,2
Job,Shock,2
Lifestyle,Pride,2
Lifestyle,Happiness/ Joy,2
Lifestyle,Fear/ Concern,2
Current Affairs,Surprise,2
Current Affairs,Controversy,2
Business,Controversy,1
Entertainment,Devotion/ spiritual,1
Business,Curiosity,1
Business,Heartwarming,1
Entertainment,Anger/ Rage,1
Business,Happiness/ Joy,1
Business,Pride,1
Business,Sadness,1
Sports,Fear/Concern,1
Sports,Motivation,1
Curent-Affairs,proud,1
International Politics,Sad,1
International Politics,Fear/ Concern,1
Entertainment,sad,1
Int others,Surprise,1
Int others,Happiness,1
Int others,Wow! Amazing!,1
Int others,Anger,1
Int others,Funny,1
Int others,Curious,1
Int others,Controvery,1
Int others,Surprise +VE,1
Sports,Pride/Belonging,1
Entertainment,Breaking News,1
Current-Affairs,Pride/Belonging,1
Entertainment,Patriotism,1
Job,Proud,1
Job,Motivation,1
Job,Happy,1
Job,Happiness,1
Job,Fear/Concern,1
Job,Breaking News,1
Lifestyle,Emotion,1
Lifestyle,Heartwarming,1
Current-Affairs,"Awe/ ""I didn't know that""",1
Job,excitement,1
Job,Sadness,1
Job,Sad,1
Lifestyle,Breaking News,1
Lifestyle,Devotion/ spiritual,1
Current-Affairs,Awe/ I didn't know that!,1
Current Affairs,Shock,1
Crime,Surprise +VE,1
Crime,Surprise,1
Off-beat,Patriotism,1
Off-beat,Pride/Belonging,1
Off-beat,Anger/ Rage,1
Off-beat,Devotion/ spiritual,1
International Politics,Wow! Amazing!,1
International Politics,Surprise +VE,1
Curent-Affairs,Emotion,1
Off-beat,empathy,1
Curent-Affairs,Happiness,1
Curent-Affairs,Patriotism,1
Politics,Funny/ Laughter,1
Curent-Affairs,Pride,1
Politics,Anger/ Rage,1
Off-beat,sad,1
Business,proud,1
Politics,empathy,1
Politics,Spiritual,1
Politics,Sad,1
Politics,proud,1
Crime,Funny,1
Spiritual,Curious,1
Spiritual,Emotion,1
Spiritual,Shocking,1
Spiritual,Shock,1
Spiritual,excitement,1
Sports,Anger/ Rage,1
Sports,Surprize,1
Sports,empathy,1
Sports,proud,1
Sports,suprise,1
